abs;nom;essence
20.0;Lisses (Station d'Essence, Aire de Repos, WC, Restaurant);1
40.8;Fleury-en-Bière (Aire de Repos, Toilettes, Poste de Péage);0
48.5;Achères-la-Forêt (Station d'Essence, Aire de Repos, WC, Restaurant);1
55.9;Villiers (Aire de Repos, Toilettes);0
64.6;Nemours (Station d'Essence, Aire de Repos, WC, Restaurant);1
76.2;Sonville (Aire de Repos, Toilettes);0
81.3;Liard (Aire de Repos, Toilettes);0
93.2;Parc Thierry (Aire de Repos, Toilettes, Poste de Péage);0
107.0;Châtaigniers (Aire de Repos, Toilettes);0
113.0;Réserve (Station d'Essence, Aire de Repos, WC, Restaurant);1
124.0;Racheuse (Aire de Repos, Toilettes);0
140.0;Biche (Aire de Repos, Toilettes);0
148.9;Bois Impériaux (Aire de Repos, Toilettes);0
157.0;Venoy Grosse Pierre (Station d'Essence, Aire de Repos, WC, Restaurant);1
164.0;Grosse Tour (Aire de Repos, Toilettes);0
177.0;Couée (Aire de Repos, Toilettes);0
188.0;Montmorency (Aire de Repos);0
203.0;Chaponne (Station d'Essence, Aire de Repos, WC, Restaurant);1
213.0;Époisses (Aire de Repos, Toilettes);0
223.0;Ruffey (Aire de Repos, Toilettes);0
232.0;Fermenot (Aire de Repos, Toilettes);0
245.0;Chien Blanc (Station d'Essence, Aire de Repos, WC, Restaurant);1
259.0;Chaignot (Aire de Repos, Toilettes);0
271.0;La Garenne (Aire de Repos, Toilettes);0
276.4;Forêt (Station d'Essence, Aire de Repos, WC, Restaurant);1
285.7;Rossignol (Aire de Repos, Toilettes);0
300.8;Beaune-Tailly (Station d'Essence, Aire de Repos, WC, Restaurant);1
313.0;Curney (Aire de Repos);0
332.0;Ferté (Station d'Essence, Aire de Repos, WC, Restaurant);1
342.0;Jugy (Aire de Repos, Toilettes, Aire de Jeux pour Enfants);0
354.0;Farges (Aire de Repos, Toilettes);0
364.8;Mâcon-Saint-Albain (Station d'Essence, Aire de Repos, WC, Restaurant);1
387.0;Crêches (Aire de Repos, Toilettes);0
398.0;Dracé (Station d'Essence, Aire de Repos, WC, Restaurant);1
410.0;Patural (Aire de Repos, Toilettes);0
417.6;Villefranche-Limas Ouest (Aire de Repos, Toilettes, Poste de Péage);0
426.0;Chères Ouest (Station d'Essence, Aire de Repos, WC, Restaurant);1
